cell,pool,verdict_abcd,suspect,suspect_reason,i11_pass,i12_pass,i13_pass,p_D1,stat_D1,D1_fire,p_D2,stat_D2,D2_fire,mode_bucket,oof_10_13_max,b14_15
no-cos/p5201-fwd,fwd-no-cos,D-escalate,False,,True,True,True,0.059994000599940006,0.007977178013072357,False,0.29817018298170184,4.8847528216982835e-09,False,9,0.1799456183605594,7.008319010749624e-06
no-cos/p5202-fwd,fwd-no-cos,D-escalate,False,,True,True,True,0.9682031796820318,-0.0078726356894474,False,1.0,-1.6627496802173722e-09,False,9,0.221742590768979,2.6717438349110248e-06
no-cos/p5203-fwd,fwd-no-cos,D-escalate,False,,True,True,True,0.972002799720028,-0.008509791530024366,False,1.0,-1.6627496802173722e-09,False,9,0.22275151383455477,2.27668031658058e-06
no-cos/p5204-fwd,fwd-no-cos,D-escalate,False,,True,True,True,0.9678032196780322,-0.007909814445426497,False,1.0,-1.6627496802173722e-09,False,9,0.22611713542018733,2.276637190944167e-06
with-cos/p5201-fwd,fwd-with-cos,D,False,,True,True,True,9.999000099990002e-05,0.9692897264793933,True,1.0,-2.0641465275810743e-09,False,4,5.565455122415603e-05,0.0
with-cos/p5201-rev,rev-with-cos,D,False,,True,True,True,0.020597940205979402,0.016934813645003224,True,1.0,-1.6359045688819084e-09,False,9,0.1578170709323233,2.7808882628559026e-06
with-cos/p5202-fwd,fwd-with-cos,B,False,,True,True,True,9.999000099990002e-05,0.8851603015896561,True,0.011998800119988001,2.0068713504375126e-08,True,5,0.0006118956899285496,0.0
with-cos/p5202-rev,rev-with-cos,D,False,,True,True,True,0.9297070292970703,-0.006667191641719944,False,0.0240975902409759,1.0304877701086564e-07,True,9,0.18326083212099467,6.246947612149512e-07
with-cos/p5203-fwd,fwd-with-cos,D-escalate,False,,True,True,True,0.6286371362863714,-0.0026022342388345374,False,1.0,-2.0641465275810743e-09,False,9,0.11721649250945,0.0
with-cos/p5203-rev,rev-with-cos,D,False,,True,True,True,0.0354964503549645,0.01235113489036016,True,0.046495350464953504,2.3040194326088513e-08,True,9,0.18050590988181545,1.155236986241727e-06
with-cos/p5204-fwd,fwd-with-cos,D,True,I12,True,False,True,,,False,,,False,4,3.6515293387341194e-05,0.0
with-cos/p5204-rev,rev-with-cos,D-escalate,False,,True,True,True,0.7801219878012199,-0.004288633384541052,False,1.0,-1.6359045688819084e-09,False,9,0.1712599180128332,3.5724697636358213e-06
