Linux 6.19.10+deb14-amd64 (cluster-userspace-host) 	04/27/26 	_x86_64_	(16 CPU)

10:20:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:20:31     all    5.92    0.00    3.02    0.00    0.00    2.01    0.00   41.16    0.00   47.83
10:20:32     all    5.66    0.00    2.42    0.00    0.00    2.67    0.00   41.26    0.00   48.00
10:20:33     all    5.14    0.00    2.63    0.00    0.00    2.76    0.00   40.56    0.00   48.84
10:20:34     all    5.73    0.00    2.64    0.00    0.00    2.52    0.00   40.37    0.00   48.68
10:20:35     all    5.88    0.00    2.59    0.00    0.00    2.28    0.00   40.83    0.00   48.42
10:20:36     all    5.62    0.00    2.40    0.00    0.00    2.71    0.00   41.04    0.00   48.23
10:20:37     all    3.78    0.00    2.20    0.00    0.00    2.52    0.00   40.28    0.00   51.16
10:20:38     all    4.87    0.00    2.03    0.00    0.00    1.96    0.00   40.32    0.00   50.82
10:20:39     all    5.01    0.00    2.41    0.00    0.00    1.78    0.00   41.43    0.00   49.24
10:20:40     all    4.45    0.00    2.19    0.00    0.00    3.01    0.00   40.50    0.00   49.72
10:20:41     all    3.38    0.00    2.36    0.06    0.00    1.78    0.00   41.08    0.00   51.27
10:20:42     all    5.74    0.00    2.84    0.00    0.00    2.77    0.00   42.12    0.00   46.47
10:20:43     all    5.74    0.00    2.65    0.00    0.00    2.21    0.00   40.28    0.00   49.12
10:20:44     all    4.33    0.00    2.32    0.00    0.00    2.32    0.00   39.95    0.00   51.07
10:20:45     all    5.03    0.00    2.39    0.00    0.00    1.95    0.00   40.25    0.00   50.38
10:20:46     all    6.15    0.00    2.45    0.00    0.00    2.89    0.00   41.15    0.00   47.37
10:20:47     all    5.54    0.00    2.58    0.00    0.00    2.39    0.00   40.43    0.00   48.99
10:20:48     all    5.23    0.00    2.27    0.00    0.00    2.96    0.00   41.30    0.00   48.17
10:20:49     all    4.43    0.00    1.83    0.00    0.00    2.59    0.00   41.37    0.00   49.72
10:20:50     all    2.82    0.00    1.95    0.00    0.00    2.07    0.00   41.05    0.00   51.91
10:20:51     all    4.21    0.00    2.20    0.00    0.00    2.89    0.00   41.12    0.00   49.53
10:20:52     all    4.54    0.00    2.08    0.00    0.00    1.83    0.00   41.08    0.00   50.47
10:20:53     all    2.72    0.00    1.77    0.00    0.00    1.58    0.00   40.05    0.00   53.80
10:20:54     all    5.35    0.00    2.52    0.00    0.00    2.70    0.00   40.69    0.00   48.62
10:20:55     all    4.90    0.00    2.20    0.00    0.00    2.64    0.00   41.31    0.00   48.78
10:20:56     all    5.69    0.00    2.44    0.00    0.00    3.13    0.00   41.18    0.00   47.50
10:20:57     all    5.54    0.00    2.46    0.00    0.00    2.33    0.00   41.62    0.00   47.98
10:20:58     all    4.63    0.00    2.13    0.00    0.00    2.94    0.00   39.67    0.00   50.50
10:20:59     all    4.14    0.00    2.63    0.00    0.00    2.32    0.00   41.66    0.00   49.12
10:21:00     all    5.58    0.00    2.28    0.00    0.00    2.35    0.00   40.71    0.00   48.89
10:21:01     all    5.36    0.00    2.87    0.06    0.00    2.49    0.00   40.12    0.00   49.03
10:21:02     all    5.36    0.00    2.97    0.00    0.00    2.97    0.00   40.32    0.00   48.39
10:21:03     all    5.26    0.00    2.72    0.00    0.00    2.28    0.00   41.00    0.00   48.61
10:21:04     all    6.16    0.00    2.58    0.06    0.00    2.76    0.00   39.82    0.00   48.56
10:21:05     all    5.45    0.00    2.66    0.00    0.00    2.79    0.00   39.65    0.00   49.40
10:21:06     all    2.37    0.00    1.87    0.00    0.00    2.87    0.00   39.45    0.00   53.31
10:21:07     all    2.43    0.00    1.56    0.00    0.00    2.56    0.00   39.14    0.00   54.31
10:21:08     all    4.57    0.00    2.57    0.00    0.00    3.13    0.00   39.70    0.00   49.91
10:21:09     all    5.45    0.00    2.94    0.00    0.00    3.01    0.00   40.89    0.00   47.59
10:21:10     all    2.73    0.00    1.74    0.00    0.00    2.49    0.00   38.97    0.00   54.01
10:21:11     all    5.32    0.00    2.50    0.00    0.00    2.44    0.00   39.80    0.00   49.87
10:21:12     all    5.10    0.00    2.43    0.00    0.00    3.55    0.00   41.13    0.00   47.79
10:21:13     all    5.55    0.00    2.59    0.00    0.00    2.71    0.00   40.06    0.00   49.02
10:21:14     all    5.09    0.00    2.52    0.00    0.00    2.77    0.00   39.87    0.00   49.75
10:21:15     all    6.15    0.00    2.51    0.00    0.00    3.01    0.00   40.11    0.00   48.21
10:21:16     all    4.92    0.00    2.12    0.00    0.00    3.61    0.00   39.60    0.00   49.75
10:21:17     all    3.10    0.00    1.45    0.00    0.00    2.59    0.00   38.94    0.00   53.92
10:21:18     all    2.19    0.00    1.25    0.00    0.00    2.57    0.00   40.24    0.00   53.75
10:21:19     all    4.63    0.00    2.32    0.00    0.00    3.07    0.00   40.93    0.00   49.06
10:21:20     all    5.60    0.00    2.33    0.00    0.00    3.14    0.00   39.81    0.00   49.12
10:21:21     all    6.15    0.00    2.51    0.00    0.00    2.76    0.00   40.30    0.00   48.27
10:21:22     all    4.80    0.00    2.87    0.00    0.00    2.55    0.00   40.93    0.00   48.72
10:21:23     all    6.05    0.00    2.27    0.00    0.00    2.33    0.00   41.06    0.00   48.30
10:21:24     all    5.90    0.00    2.64    0.00    0.00    3.33    0.00   40.99    0.00   47.14
10:21:25     all    5.58    0.00    2.41    0.00    0.00    2.66    0.00   40.05    0.00   49.30
10:21:26     all    5.02    0.00    2.07    0.00    0.00    2.32    0.00   40.05    0.00   50.47
10:21:27     all    1.57    0.00    2.01    0.00    0.00    1.83    0.00   40.97    0.00   53.56
10:21:28     all    5.35    0.00    2.43    0.00    0.00    3.61    0.00   39.35    0.00   49.25
10:21:29     all    5.59    0.00    2.73    0.00    0.00    3.17    0.00   40.06    0.00   48.45
10:21:30     all    6.00    0.00    2.21    0.00    0.00    3.03    0.00   39.55    0.00   49.21
Average:     all    4.88    0.00    2.36    0.00    0.00    2.62    0.00   40.50    0.00   49.64
